gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
304,α⁶,α³,0,α,1,0,0,α,0
305,α,α⁴,0,α²,1,0,0,α,0
306,α⁵,α⁵,0,α³,1,0,0,α,0
307,α⁴,α⁶,0,α⁴,1,0,0,α,0
308,α²,1,0,α⁵,1,0,0,α,0
309,α³,α²,0,1,1,0,0,α,0
310,α⁴,α³,0,α,α,0,0,α²,0
311,α²,α⁵,0,α³,α,0,0,α²,0
312,α⁶,α⁶,0,α⁴,α,0,0,α²,0
313,α⁵,1,0,α⁵,α,0,0,α²,0
314,α³,α,0,α⁶,α,0,0,α²,0
315,α³,1,0,α,α²,0,0,α²,0
316,α²,α²,0,α²,α²,0,0,α²,0
317,1,α⁶,0,α³,α²,0,0,α²,0
318,α,α³,0,α⁵,α²,0,0,α²,0
319,α⁶,α⁴,0,1,α²,0,0,α²,0
320,α,α⁶,0,α,α³,0,0,α²,0
321,1,α³,0,α⁴,α³,0,0,α²,0
322,α³,α⁵,0,α⁵,α³,0,0,α²,0
323,α⁵,α²,0,α⁶,α³,0,0,α²,0
324,α²,α,0,1,α³,0,0,α²,0
325,α⁵,α³,0,α²,α⁴,0,0,α²,0
326,α,α,0,α³,α⁴,0,0,α²,0
327,1,α²,0,α⁵,α⁴,0,0,α²,0
328,α⁶,α⁵,0,α⁶,α⁴,0,0,α²,0
329,α⁴,1,0,1,α⁴,0,0,α²,0
330,α³,α⁶,0,α²,α⁵,0,0,α²,0
331,α⁴,α²,0,α³,α⁵,0,0,α²,0
332,α⁵,α⁴,0,α⁴,α⁵,0,0,α²,0
333,α⁶,α,0,α⁵,α⁵,0,0,α²,0
334,1,1,0,α⁶,α⁵,0,0,α²,0
335,α,α⁵,0,1,α⁵,0,0,α²,0
336,α⁵,α⁵,0,α,α⁶,0,0,α²,0
337,α⁶,α³,0,α³,α⁶,0,0,α²,0
338,α²,1,0,α⁴,α⁶,0,0,α²,0
339,α⁴,α⁶,0,α⁵,α⁶,0,0,α²,0
340,α,α⁴,0,α⁶,α⁶,0,0,α²,0
341,1,α,0,α,1,0,0,α²,0
342,α⁴,α⁵,0,α²,1,0,0,α²,0
343,α³,α⁴,0,α³,1,0,0,α²,0
344,α,α²,0,α⁴,1,0,0,α²,0
345,α²,α³,0,α⁶,1,0,0,α²,0
346,α⁵,α⁶,0,1,1,0,0,α²,0
347,α⁶,1,0,α,α,0,0,α³,0
348,α,α²,0,α²,α,0,0,α³,0
349,α⁵,α⁶,0,α³,α,0,0,α³,0
350,α⁴,α⁵,0,α⁴,α,0,0,α³,0
351,α²,α³,0,α⁵,α,0,0,α³,0
352,α³,α⁴,0,1,α,0,0,α³,0
353,α⁵,α⁴,0,α²,α²,0,0,α³,0
354,α,α⁵,0,α³,α²,0,0,α³,0
355,α³,α⁶,0,α⁴,α²,0,0,α³,0
