gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
365,0,α⁴,α⁵,α³,α³,0,0,0,0
366,0,α⁷,α⁶,α³,α³,0,0,0,0
367,0,α⁵,α⁷,α³,α³,0,0,0,0
368,0,α²,1,α³,α³,0,0,0,0
369,0,α²,α,α⁴,α³,0,0,0,0
370,0,1,α²,α⁴,α³,0,0,0,0
371,0,α⁵,α³,α⁴,α³,0,0,0,0
372,0,α,α⁶,α⁴,α³,0,0,0,0
373,0,α³,α⁷,α⁴,α³,0,0,0,0
374,0,α³,α,α⁵,α³,0,0,0,0
375,0,α²,α²,α⁵,α³,0,0,0,0
376,0,α⁷,α⁴,α⁵,α³,0,0,0,0
377,0,1,α⁷,α⁵,α³,0,0,0,0
378,0,α⁶,1,α⁵,α³,0,0,0,0
379,0,α⁶,α²,α⁶,α³,0,0,0,0
380,0,α²,α³,α⁶,α³,0,0,0,0
381,0,α⁵,α⁴,α⁶,α³,0,0,0,0
382,0,α³,α⁵,α⁶,α³,0,0,0,0
383,0,α⁷,α⁷,α⁶,α³,0,0,0,0
384,0,α⁵,α,α⁷,α³,0,0,0,0
385,0,α,α²,α⁷,α³,0,0,0,0
386,0,α⁴,α³,α⁷,α³,0,0,0,0
387,0,α²,α⁴,α⁷,α³,0,0,0,0
388,0,α⁷,α⁵,α⁷,α³,0,0,0,0
389,0,α⁶,α,1,α³,0,0,0,0
390,0,α⁷,α²,1,α³,0,0,0,0
391,0,1,α³,1,α³,0,0,0,0
392,0,α,α⁴,1,α³,0,0,0,0
393,0,α⁷,α²,α,α⁴,0,0,0,0
394,0,1,α³,α,α⁴,0,0,0,0
395,0,α,α⁴,α,α⁴,0,0,0,0
396,0,α²,α⁵,α,α⁴,0,0,0,0
397,0,α⁴,α⁷,α,α⁴,0,0,0,0
398,0,α⁵,1,α,α⁴,0,0,0,0
399,0,α²,α,α²,α⁴,0,0,0,0
400,0,α⁴,α⁴,α²,α⁴,0,0,0,0
401,0,α,α⁶,α²,α⁴,0,0,0,0
402,0,α³,α⁷,α²,α⁴,0,0,0,0
403,0,α⁵,α,α³,α⁴,0,0,0,0
404,0,α,α²,α³,α⁴,0,0,0,0
405,0,α²,α⁴,α³,α⁴,0,0,0,0
406,0,α⁷,α⁵,α³,α⁴,0,0,0,0
407,0,α⁶,α⁶,α³,α⁴,0,0,0,0
408,0,α³,1,α³,α⁴,0,0,0,0
409,0,α³,α,α⁴,α⁴,0,0,0,0
410,0,α²,α²,α⁴,α⁴,0,0,0,0
411,0,α⁷,α⁴,α⁴,α⁴,0,0,0,0
412,0,α,α⁵,α⁴,α⁴,0,0,0,0
413,0,1,α⁷,α⁴,α⁴,0,0,0,0
414,0,α⁶,1,α⁴,α⁴,0,0,0,0
415,0,1,α,α⁵,α⁴,0,0,0,0
416,0,α³,α²,α⁵,α⁴,0,0,0,0
417,0,α,α³,α⁵,α⁴,0,0,0,0
418,0,α⁶,α⁴,α⁵,α⁴,0,0,0,0
419,0,α⁵,α⁵,α⁵,α⁴,0,0,0,0
420,0,α⁷,α,α⁶,α⁴,0,0,0,0
421,0,α⁴,α²,α⁶,α⁴,0,0,0,0
422,0,α³,α³,α⁶,α⁴,0,0,0,0
423,0,1,α⁵,α⁶,α⁴,0,0,0,0
424,0,α²,α⁶,α⁶,α⁴,0,0,0,0
425,0,α⁶,α⁷,α⁶,α⁴,0,0,0,0
426,0,α,1,α⁶,α⁴,0,0,0,0
427,0,α⁵,α²,α⁷,α⁴,0,0,0,0
428,0,α⁷,α³,α⁷,α⁴,0,0,0,0
429,0,α³,α⁴,α⁷,α⁴,0,0,0,0
430,0,α⁶,α⁵,α⁷,α⁴,0,0,0,0
431,0,α⁴,α⁶,α⁷,α⁴,0,0,0,0
432,0,α,α⁷,α⁷,α⁴,0,0,0,0
433,0,α⁴,α,1,α⁴,0,0,0,0
434,0,α⁶,α²,1,α⁴,0,0,0,0
435,0,α²,α³,1,α⁴,0,0,0,0
436,0,α⁵,α⁴,1,α⁴,0,0,0,0
437,0,α³,α⁵,1,α⁴,0,0,0,0
438,0,α⁷,α⁷,1,α⁴,0,0,0,0
439,0,α⁵,α²,α,α⁵,0,0,0,0
440,0,α⁷,α³,α,α⁵,0,0,0,0
441,0,α³,α⁴,α,α⁵,0,0,0,0
442,0,α,α⁷,α,α⁵,0,0,0,0
443,0,1,1,α,α⁵,0,0,0,0
444,0,α⁶,α,α²,α⁵,0,0,0,0
445,0,α⁷,α²,α²,α⁵,0,0,0,0
446,0,1,α³,α²,α⁵,0,0,0,0
447,0,α,α⁴,α²,α⁵,0,0,0,0
448,0,α²,α⁵,α²,α⁵,0,0,0,0
449,0,α³,α⁶,α²,α⁵,0,0,0,0
450,0,α⁴,α⁷,α²,α⁵,0,0,0,0
451,0,1,α,α³,α⁵,0,0,0,0
452,0,α³,α²,α³,α⁵,0,0,0,0
453,0,α,α³,α³,α⁵,0,0,0,0
454,0,α⁵,α⁵,α³,α⁵,0,0,0,0
455,0,α⁴,1,α³,α⁵,0,0,0,0
456,0,α⁴,α,α⁴,α⁵,0,0,0,0
457,0,α⁶,α²,α⁴,α⁵,0,0,0,0
458,0,α²,α³,α⁴,α⁵,0,0,0,0
459,0,α³,α⁵,α⁴,α⁵,0,0,0,0
460,0,1,α⁶,α⁴,α⁵,0,0,0,0
461,0,α⁷,α⁷,α⁴,α⁵,0,0,0,0
462,0,α⁷,α,α⁵,α⁵,0,0,0,0
463,0,α⁴,α²,α⁵,α⁵,0,0,0,0
464,0,α³,α³,α⁵,α⁵,0,0,0,0
465,0,1,α⁵,α⁵,α⁵,0,0,0,0
466,0,α²,α⁶,α⁵,α⁵,0,0,0,0
467,0,α,1,α⁵,α⁵,0,0,0,0
468,0,α⁵,α,α⁶,α⁵,0,0,0,0
469,0,α,α²,α⁶,α⁵,0,0,0,0
470,0,α²,α⁴,α⁶,α⁵,0,0,0,0
471,0,α³,1,α⁶,α⁵,0,0,0,0
472,0,α²,α,α⁷,α⁵,0,0,0,0
473,0,1,α²,α⁷,α⁵,0,0,0,0
474,0,α⁵,α³,α⁷,α⁵,0,0,0,0
475,0,α⁴,α⁴,α⁷,α⁵,0,0,0,0
476,0,α,α⁶,α⁷,α⁵,0,0,0,0
477,0,α,α,1,α⁵,0,0,0,0
478,0,α⁶,α³,1,α⁵,0,0,0,0
479,0,1,α⁴,1,α⁵,0,0,0,0
480,0,α⁴,α⁵,1,α⁵,0,0,0,0
481,0,α⁷,α⁶,1,α⁵,0,0,0,0
482,0,α³,α,α,α⁶,0,0,0,0
483,0,α²,α²,α,α⁶,0,0,0,0
484,0,α⁷,α⁴,α,α⁶,0,0,0,0
485,0,α,α⁵,α,α⁶,0,0,0,0
486,0,α⁵,α⁶,α,α⁶,0,0,0,0
487,0,1,α⁷,α,α⁶,0,0,0,0
488,0,α⁶,1,α,α⁶,0,0,0,0
489,0,α⁶,α³,α²,α⁶,0,0,0,0
