gene,block1,block2,block3,block4,block5
951,7,12,4,15,3
952,8,12,4,0,4
953,9,12,4,1,5
954,10,12,4,2,6
955,11,12,4,3,7
956,12,12,4,4,8
957,13,12,4,5,9
958,14,12,4,6,10
959,15,12,4,7,11
960,0,12,4,8,12
961,1,13,4,8,13
962,2,13,4,9,14
963,3,13,4,10,15
964,4,13,4,11,0
965,5,13,4,12,1
966,6,13,4,13,2
967,7,13,4,14,3
968,8,13,4,15,4
969,9,13,4,0,5
970,10,13,4,1,6
971,11,13,4,2,7
972,12,13,4,3,8
973,13,13,4,4,9
974,14,13,4,5,10
975,15,13,4,6,11
976,0,13,4,7,12
977,1,14,4,7,13
978,2,14,4,8,14
979,3,14,4,9,15
980,4,14,4,10,0
981,5,14,4,11,1
982,6,14,4,12,2
983,7,14,4,13,3
984,8,14,4,14,4
985,9,14,4,15,5
986,10,14,4,0,6
987,11,14,4,1,7
988,12,14,4,2,8
989,13,14,4,3,9
990,14,14,4,4,10
991,15,14,4,5,11
992,0,14,4,6,12
993,1,15,4,6,13
994,2,15,4,7,14
995,3,15,4,8,15
996,4,15,4,9,0
997,5,15,4,10,1
998,6,15,4,11,2
999,7,15,4,12,3
1000,8,15,4,13,4
1001,9,15,4,14,5
1002,10,15,4,15,6
1003,11,15,4,0,7
1004,12,15,4,1,8
1005,13,15,4,2,9
1006,14,15,4,3,10
1007,15,15,4,4,11
1008,0,15,4,5,12
1009,1,0,4,5,13
1010,2,0,4,6,14
1011,3,0,4,7,15
1012,4,0,4,8,0
1013,5,0,4,9,1
1014,6,0,4,10,2
1015,7,0,4,11,3
1016,8,0,4,12,4
1017,9,0,4,13,5
1018,10,0,4,14,6
1019,11,0,4,15,7
1020,12,0,4,0,8
1021,13,0,4,1,9
1022,14,0,4,2,10
1023,15,0,4,3,11
1024,0,0,4,4,12
1025,1,1,5,5,12
1026,2,1,5,6,13
1027,3,1,5,7,14
1028,4,1,5,8,15
1029,5,1,5,9,0
1030,6,1,5,10,1
1031,7,1,5,11,2
1032,8,1,5,12,3
1033,9,1,5,13,4
1034,10,1,5,14,5
1035,11,1,5,15,6
1036,12,1,5,0,7
1037,13,1,5,1,8
1038,14,1,5,2,9
1039,15,1,5,3,10
1040,0,1,5,4,11
1041,1,2,5,4,12
1042,2,2,5,5,13
1043,3,2,5,6,14
1044,4,2,5,7,15
1045,5,2,5,8,0
1046,6,2,5,9,1
1047,7,2,5,10,2
1048,8,2,5,11,3
1049,9,2,5,12,4
1050,10,2,5,13,5
1051,11,2,5,14,6
1052,12,2,5,15,7
1053,13,2,5,0,8
1054,14,2,5,1,9
1055,15,2,5,2,10
1056,0,2,5,3,11
1057,1,3,5,3,12
1058,2,3,5,4,13
1059,3,3,5,5,14
1060,4,3,5,6,15
1061,5,3,5,7,0
1062,6,3,5,8,1
1063,7,3,5,9,2
1064,8,3,5,10,3
1065,9,3,5,11,4
1066,10,3,5,12,5
1067,11,3,5,13,6
1068,12,3,5,14,7
1069,13,3,5,15,8
1070,14,3,5,0,9
1071,15,3,5,1,10
1072,0,3,5,2,11
1073,1,4,5,2,12
1074,2,4,5,3,13
1075,3,4,5,4,14
1076,4,4,5,5,15
1077,5,4,5,6,0
1078,6,4,5,7,1
1079,7,4,5,8,2
1080,8,4,5,9,3
1081,9,4,5,10,4
1082,10,4,5,11,5
1083,11,4,5,12,6
1084,12,4,5,13,7
1085,13,4,5,14,8
1086,14,4,5,15,9
1087,15,4,5,0,10
1088,0,4,5,1,11
1089,1,5,5,1,12
1090,2,5,5,2,13
1091,3,5,5,3,14
1092,4,5,5,4,15
1093,5,5,5,5,0
1094,6,5,5,6,1
1095,7,5,5,7,2
1096,8,5,5,8,3
1097,9,5,5,9,4
1098,10,5,5,10,5
1099,11,5,5,11,6
1100,12,5,5,12,7
1101,13,5,5,13,8
1102,14,5,5,14,9
1103,15,5,5,15,10
1104,0,5,5,0,11
1105,1,6,5,0,12
1106,2,6,5,1,13
1107,3,6,5,2,14
1108,4,6,5,3,15
1109,5,6,5,4,0
1110,6,6,5,5,1
1111,7,6,5,6,2
1112,8,6,5,7,3
1113,9,6,5,8,4
1114,10,6,5,9,5
1115,11,6,5,10,6
1116,12,6,5,11,7
1117,13,6,5,12,8
1118,14,6,5,13,9
1119,15,6,5,14,10
1120,0,6,5,15,11
1121,1,7,5,15,12
1122,2,7,5,0,13
1123,3,7,5,1,14
1124,4,7,5,2,15
1125,5,7,5,3,0
1126,6,7,5,4,1
1127,7,7,5,5,2
1128,8,7,5,6,3
1129,9,7,5,7,4
1130,10,7,5,8,5
1131,11,7,5,9,6
1132,12,7,5,10,7
1133,13,7,5,11,8
1134,14,7,5,12,9
1135,15,7,5,13,10
1136,0,7,5,14,11
1137,1,8,5,14,12
1138,2,8,5,15,13
1139,3,8,5,0,14
1140,4,8,5,1,15
1141,5,8,5,2,0
1142,6,8,5,3,1
1143,7,8,5,4,2
1144,8,8,5,5,3
1145,9,8,5,6,4
1146,10,8,5,7,5
1147,11,8,5,8,6
1148,12,8,5,9,7
