block,pseudocolor,x,y,s,w
1,1,776.2880776,1053.152307,1.221374081,363.9566884
1,1,776.558513,1174.494475,1.510391638,981.333759
1,1,776.7327204,1004.743176,1.401927539,306.5915733
1,1,776.9325154,1224.718823,1.532284031,440.5319425
1,1,777.0260826,1230.695134,1.200160052,302.6309805
1,1,777.0418618,1290.865391,1.555340077,914.7244536
1,1,777.4932045,1320.581398,1.816500263,521.4460775
1,1,777.606525,1330.418413,1.424119453,836.9457741
1,1,777.9491767,1372.714024,1.997690054,886.6345216
1,1,777.9730204,1180.527316,1.211876165,790.6799225
1,1,778.1989196,1305.160096,1.749344293,236.9134883
1,1,778.2165683,1241.767905,1.836465449,1525.990164
1,1,778.5577592,1161.944496,1.733169613,216.0064984
1,1,778.6699984,1210.528922,1.320713216,263.6668604
1,1,778.6843806,1381.119939,1.66553678,1209.815744
1,1,778.913438,1102.987487,2,262.644324
1,1,779.314808,1273.943236,1.999819853,347.0827063
1,1,779.3385151,1366.209822,1.52254952,959.8371168
1,1,779.3426085,1300.418023,1.999859522,237.3163484
1,1,779.5352923,1351.545278,1.200221133,330.8067912
1,1,779.549368,1244.772978,1.20015471,262.8504813
1,1,779.6006243,1236.641136,1.205621552,448.0437455
1,1,779.8824206,1376.769993,1.208964415,690.3135895
1,1,780.0699737,1222.732817,1.200201908,295.5178765
1,1,780.2504323,1256.995218,1.866615904,259.4875613
1,1,780.3936944,1055.377027,1.435651163,964.3565675
1,1,780.4956141,1010.010597,1.303645846,424.5004838
1,1,780.7185683,1188.641464,1.331135043,1348.126417
1,1,781.3094938,1263.495797,1.65253896,936.4722242
1,1,781.4268428,1176.999146,1.477370918,363.369756
1,1,781.6386575,1115.396245,1.642021652,956.3874718
1,1,781.8253251,1197.504483,1.50636393,400.0977595
1,1,781.877381,1133.972403,1.959105232,1006.555357
1,1,782.0121131,1316.94736,1.200764847,460.0438691
1,1,782.1785709,1250.818903,1.510677549,1195.463317
1,1,782.4655835,1286.504392,1.498166217,1377.723021
1,1,782.5185628,1148.810167,1.312942227,232.1639683
1,1,782.7056443,1298.183063,1.901222603,1112.978071
1,1,782.7436259,1195.497478,1.914053358,680.0752777
1,1,782.9077933,1332.837619,1.2,278.5197922
1,1,783.230813,1308.081628,1.209674867,711.5032751
1,1,783.2458364,1097.00257,2,251.3528197
1,1,783.2590673,996.2248994,2,478.1407272
1,1,783.4513487,1223.261814,1.997047921,2194.4031
1,1,783.4745487,1212.130907,1.998582395,453.0195896
1,1,784.1644339,1077.569452,1.633254608,315.7222536
1,1,784.2872856,1335.019537,1.999749168,804.3533427
1,1,784.3332684,1319.30183,1.993478675,920.8841246
1,1,784.3628704,1003.854852,1.2,247.9281379
1,1,784.4669596,1142.642948,1.479567318,265.0519472
1,1,784.8084794,1313.491291,1.999953492,390.3864903
1,1,785.0953963,1289.286685,1.355195615,446.3560877
1,1,785.1224098,1277.823347,1.353588239,667.6450664
1,1,785.2163457,1229.819779,1.635324281,1181.381135
1,1,785.2344107,1059.342322,1.219891886,1356.734835
1,1,785.3052151,1219.939764,1.2,292.4950247
1,1,785.3788539,1245.505359,1.40315079,726.3505137
1,1,785.4605463,1321.752764,1.2,311.4442361
1,1,785.7870325,997.9975489,2,317.8000735
1,1,785.9968215,1393.405934,1.353582813,527.0177669
1,1,786.2238062,1305.982578,1.997117375,673.8588597
1,1,786.5243129,1069.335089,1.931019951,882.1111057
1,1,786.557391,1158.447967,2,357.6936928
1,1,786.7142265,1453.898332,1.339228202,349.0501757
1,1,786.7410255,1336.834362,1.2,310.9985687
1,1,786.7690839,1127.913291,2,321.008691
1,1,787.129494,1381.031724,1.748939746,791.7289497
1,1,787.1817408,1346.834037,1.426173546,1185.091867
1,1,787.2699002,1204.40424,1.999564517,349.1256371
1,1,787.3295021,1027.703562,1.424544513,262.7377967
1,1,787.3752786,1321.166359,1.327967263,604.4706397
1,1,787.4210879,1116.796283,1.948460308,253.3943194
1,1,787.5778833,1349.995901,1.519056222,287.6737997
1,1,787.6492499,1268.345889,1.999616329,397.0312816
1,1,787.8223302,1235.698629,1.653929714,1441.476459
1,1,788.0001522,1054.020714,1.651278515,360.0815676
1,1,788.0299713,1251.160386,1.202960273,638.5265853
1,1,788.2131672,961.4709022,1.346631843,252.1586741
1,1,788.2365092,1398.618416,1.4472135,226.8417144
1,1,788.3469079,1372.360273,1.669927408,515.1973971
1,1,788.7390258,1352.371758,1.324043231,675.4238388
1,1,788.7582413,1213.179631,1.55818216,282.9012667
