Unnamed: 0,lvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,eff_truth,fdr_truth,fp,not_decoded_true,total_true_cnts,nbarcodes,nnonspec,ims,rep
0,8.0,0.0,0.0,0,11,1,10,0.0714530647235319,0.4,0.1818181818181818,2.0,12.0,20,20,40,_ims,4
0,6.0,0.0,0.0,0,13,1,12,0.0595442206029432,0.5,0.1538461538461538,2.0,10.0,20,20,50,_ims,4
0,8.0,0.0,0.0,0,11,0,11,0.0,0.4,0.2727272727272727,3.0,12.0,20,20,50,_ims,4
0,6.0,0.0,0.0,0,19,6,13,0.3297833756470704,0.2333333333333333,0.3157894736842105,6.0,23.0,30,30,0,_ims,4
0,8.0,0.0,0.0,0,17,4,13,0.2198555837647136,0.4,0.0588235294117647,1.0,18.0,30,30,0,_ims,4
0,6.0,0.0,0.0,0,21,11,10,0.7859837119588513,0.2666666666666666,0.0952380952380952,2.0,22.0,30,30,10,_ims,4
0,8.0,0.0,0.0,0,19,6,13,0.3297833756470704,0.3,0.2105263157894736,4.0,21.0,30,30,10,_ims,4
0,6.0,0.0,0.0,0,20,3,17,0.1260936436297622,0.3666666666666666,0.3,6.0,19.0,30,30,20,_ims,4
0,8.0,0.0,0.0,0,19,5,14,0.2551895168697569,0.4333333333333333,0.0526315789473684,1.0,17.0,30,30,20,_ims,4
0,6.0,0.0,0.0,0,20,5,15,0.2381768824117731,0.4666666666666667,0.05,1.0,16.0,30,30,30,_ims,4
0,8.0,0.0,0.0,0,19,7,12,0.4168095442206029,0.3333333333333333,0.1052631578947368,2.0,20.0,30,30,30,_ims,4
0,6.0,0.0,0.0,0,22,5,17,0.2101560727162704,0.5,0.0909090909090909,2.0,15.0,30,30,40,_ims,4
0,8.0,0.0,0.0,0,22,5,17,0.2101560727162704,0.4333333333333333,0.1818181818181818,4.0,17.0,30,30,40,_ims,4
0,6.0,0.0,0.0,0,20,5,15,0.2381768824117731,0.2666666666666666,0.35,7.0,22.0,30,30,50,_ims,4
0,8.0,0.0,0.0,0,18,6,12,0.3572653236176596,0.1666666666666666,0.3888888888888889,7.0,25.0,30,30,50,_ims,4
0,6.0,0.0,0.0,0,7,0,7,0.0,0.6,0.1428571428571428,1.0,4.0,10,10,0,_ims,5
0,8.0,0.0,0.0,0,6,0,6,0.0,0.6,0.0,0.0,4.0,10,10,0,_ims,5
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,10,_ims,5
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,10,_ims,5
0,6.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,20,_ims,5
0,8.0,0.0,0.0,0,8,0,8,0.0,0.8,0.0,0.0,2.0,10,10,20,_ims,5
0,6.0,0.0,0.0,0,10,0,10,0.0,1.0,0.0,0.0,0.0,10,10,30,_ims,5
0,8.0,0.0,0.0,0,9,0,9,0.0,0.9,0.0,0.0,1.0,10,10,30,_ims,5
0,6.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,40,_ims,5
0,8.0,0.0,0.0,0,7,0,7,0.0,0.7,0.0,0.0,3.0,10,10,40,_ims,5
0,6.0,0.0,0.0,0,9,0,9,0.0,0.9,0.0,0.0,1.0,10,10,50,_ims,5
0,8.0,0.0,0.0,0,9,0,9,0.0,0.9,0.0,0.0,1.0,10,10,50,_ims,5
0,6.0,0.0,0.0,0,14,0,14,0.0,0.7,0.0,0.0,6.0,20,20,0,_ims,5
0,8.0,0.0,0.0,0,13,0,13,0.0,0.65,0.0,0.0,7.0,20,20,0,_ims,5
0,6.0,0.0,0.0,0,17,3,14,0.1531137101218541,0.65,0.0588235294117647,1.0,7.0,20,20,10,_ims,5
0,8.0,0.0,0.0,0,16,1,15,0.0476353764823546,0.65,0.125,2.0,7.0,20,20,10,_ims,5
0,6.0,0.0,0.0,0,14,1,13,0.0549638959411784,0.6,0.0714285714285714,1.0,8.0,20,20,20,_ims,5
0,8.0,0.0,0.0,0,12,1,11,0.0649573315668472,0.5,0.0833333333333333,1.0,10.0,20,20,20,_ims,5
0,6.0,0.0,0.0,0,15,1,14,0.0510379033739513,0.65,0.0666666666666666,1.0,7.0,20,20,30,_ims,5
0,8.0,0.0,0.0,0,14,0,14,0.0,0.55,0.2142857142857142,3.0,9.0,20,20,30,_ims,5
0,6.0,0.0,0.0,0,14,2,12,0.1190884412058865,0.5,0.1428571428571428,2.0,10.0,20,20,40,_ims,5
0,8.0,0.0,0.0,0,13,0,13,0.0,0.6,0.0769230769230769,1.0,8.0,20,20,40,_ims,5
0,6.0,0.0,0.0,0,14,0,14,0.0,0.6,0.1428571428571428,2.0,8.0,20,20,50,_ims,5
0,8.0,0.0,0.0,0,12,0,12,0.0,0.6,0.0,0.0,8.0,20,20,50,_ims,5
0,6.0,0.0,0.0,0,21,6,15,0.2858122588941277,0.4333333333333333,0.0952380952380952,2.0,17.0,30,30,0,_ims,5
0,8.0,0.0,0.0,0,19,7,12,0.4168095442206029,0.3333333333333333,0.1052631578947368,2.0,20.0,30,30,0,_ims,5
0,6.0,0.0,0.0,0,22,10,12,0.5954422060294328,0.2666666666666666,0.1818181818181818,4.0,22.0,30,30,10,_ims,5
0,8.0,0.0,0.0,0,21,7,14,0.3572653236176596,0.3,0.238095238095238,5.0,21.0,30,30,10,_ims,5
0,6.0,0.0,0.0,0,22,7,15,0.3334476353764823,0.3666666666666666,0.1818181818181818,4.0,19.0,30,30,20,_ims,5
0,8.0,0.0,0.0,0,21,8,13,0.4397111675294273,0.3666666666666666,0.0952380952380952,2.0,19.0,30,30,20,_ims,5
0,6.0,0.0,0.0,0,20,7,13,0.3847472715882488,0.3,0.2,4.0,21.0,30,30,30,_ims,5
0,8.0,0.0,0.0,0,18,4,14,0.2041516134958055,0.4666666666666667,0.0,0.0,16.0,30,30,30,_ims,5
