gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
246,0,α,α⁷,1,0,0,α²,0,1,0
247,α⁶,1,α,0,0,0,α³,0,1,0
248,1,0,α⁵,α⁵,0,0,α⁴,0,1,0
249,α³,α⁶,1,0,0,0,α⁵,0,0,α
250,0,α³,α²,α⁵,0,0,1,0,0,α
251,0,α⁴,α³,α⁶,0,0,α,0,0,α²
252,α⁵,α,0,α,0,0,α²,0,0,α²
253,α³,0,α²,α⁴,0,0,α⁴,0,0,α²
254,α⁴,α⁷,α,0,0,0,α⁶,0,0,α²
255,α⁴,0,α³,α⁵,0,0,α⁵,0,0,α³
256,α⁵,1,α²,0,0,0,α⁷,0,0,α³
257,α⁷,α³,0,α³,0,0,α⁴,0,0,α⁴
258,α⁶,α,α³,0,0,0,1,0,0,α⁴
259,α⁷,α²,α⁴,0,0,0,α,0,0,α⁵
260,0,α⁷,α⁶,α,0,0,α⁴,0,0,α⁵
261,1,α⁴,0,α⁴,0,0,α⁵,0,0,α⁵
262,1,α³,α⁵,0,0,0,α²,0,0,α⁶
263,0,1,α⁷,α²,0,0,α⁵,0,0,α⁶
264,α,α⁵,0,α⁵,0,0,α⁶,0,0,α⁶
265,α⁷,0,α⁶,1,0,0,1,0,0,α⁶
266,1,0,α⁷,α,0,0,α,0,0,α⁷
267,0,α,1,α³,0,0,α⁶,0,0,α⁷
268,α²,α⁶,0,α⁶,0,0,α⁷,0,0,α⁷
269,α,0,1,α²,0,0,α²,0,0,1
270,0,α²,α,α⁴,0,0,α⁷,0,0,1
271,α³,α⁷,0,α⁷,0,0,1,0,0,1
272,α⁵,1,α³,0,0,0,0,α⁴,α,0
273,0,α²,α²,α⁶,0,0,0,α²,α²,0
274,1,0,1,α³,0,0,0,α³,α²,0
275,α,α⁵,0,α⁷,0,0,0,α⁶,α²,0
276,0,α³,α³,α⁷,0,0,0,α³,α³,0
277,α,0,α,α⁴,0,0,0,α⁴,α³,0
278,α²,α⁶,0,1,0,0,0,α⁷,α³,0
279,0,α⁴,α⁴,1,0,0,0,α⁴,α⁴,0
280,α²,0,α²,α⁵,0,0,0,α⁵,α⁴,0
281,α³,α⁷,0,α,0,0,0,1,α⁴,0
282,0,α⁵,α⁵,α,0,0,0,α⁵,α⁵,0
283,α³,0,α³,α⁶,0,0,0,α⁶,α⁵,0
284,α,α⁴,α⁷,0,0,0,0,1,α⁵,0
285,α⁵,α,0,α³,0,0,0,α²,α⁶,0
286,0,α⁶,α⁶,α²,0,0,0,α⁶,α⁶,0
287,0,α⁷,α⁷,α³,0,0,0,α⁷,α⁷,0
288,α⁶,0,α⁶,α,0,0,0,α,1,0
289,α⁴,α⁷,α²,0,0,0,0,α³,1,0
290,0,1,1,α⁴,0,0,0,1,1,0
291,1,α⁵,0,α²,0,0,0,α⁴,0,α
292,0,1,α,α⁷,0,0,0,α⁶,0,α
293,α⁶,0,1,α⁵,0,0,0,1,0,α
294,α⁷,0,α,α⁶,0,0,0,α,0,α²
295,α,α⁶,0,α³,0,0,0,α⁵,0,α²
296,1,α⁴,1,0,0,0,0,α⁶,0,α²
297,0,α,α²,1,0,0,0,α⁷,0,α²
298,α,α⁵,α,0,0,0,0,α⁷,0,α³
299,0,α³,α⁴,α²,0,0,0,α,0,α⁴
300,α,0,α³,1,0,0,0,α³,0,α⁴
301,α³,1,0,α⁵,0,0,0,α⁷,0,α⁴
302,α²,α⁶,α²,0,0,0,0,1,0,α⁴
303,α³,α⁷,α³,0,0,0,0,α,0,α⁵
304,0,α⁴,α⁵,α³,0,0,0,α²,0,α⁵
305,α²,0,α⁴,α,0,0,0,α⁴,0,α⁵
306,α⁴,α,0,α⁶,0,0,0,1,0,α⁵
307,α⁵,α²,0,α⁷,0,0,0,α,0,α⁶
308,α⁴,1,α⁴,0,0,0,0,α²,0,α⁶
309,α³,0,α⁵,α²,0,0,0,α⁵,0,α⁶
310,α⁶,α³,0,1,0,0,0,α²,0,α⁷
311,α⁵,α,α⁵,0,0,0,0,α³,0,α⁷
312,0,α⁶,α⁷,α⁵,0,0,0,α⁴,0,α⁷
313,0,α⁷,α³,1,0,0,0,0,α²,α
314,α⁴,0,α²,α⁶,0,0,0,0,α³,α
315,α⁵,α²,α,0,0,0,0,0,α⁶,α
316,0,1,α⁴,α,0,0,0,0,α³,α²
317,α⁵,0,α³,α⁷,0,0,0,0,α⁴,α²
318,α⁷,α⁵,0,α⁴,0,0,0,0,α⁵,α²
319,0,α,α⁵,α²,0,0,0,0,α⁴,α³
320,1,α⁶,0,α⁵,0,0,0,0,α⁶,α³
321,0,α²,α⁶,α³,0,0,0,0,α⁵,α⁴
322,α,α⁶,α⁵,0,0,0,0,0,α²,α⁵
323,0,α³,α⁷,α⁴,0,0,0,0,α⁶,α⁵
324,1,0,α⁶,α²,0,0,0,0,α⁷,α⁵
325,α²,1,0,α⁷,0,0,0,0,1,α⁵
326,α³,α,0,1,0,0,0,0,α,α⁶
327,α²,α⁷,α⁶,0,0,0,0,0,α³,α⁶
328,0,α⁴,1,α⁵,0,0,0,0,α⁷,α⁶
329,α,0,α⁷,α³,0,0,0,0,1,α⁶
330,α⁴,α²,0,α,0,0,0,0,α²,α⁷
331,α³,1,α⁷,0,0,0,0,0,α⁴,α⁷
