pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
16,9,2,1,1,8431,17597,0.070989814
16,13,2,1,1,8524,18393,0.068666744
16,14,2,1,1,9518,23466,0.060098304
17,5,2,1,1,8687,18332,0.070212681
17,7,2,1,1,10453,24527,0.06314691
17,8,2,1,1,7962,20437,0.057724558
17,9,2,1,1,9845,24186,0.06031249
17,11,2,1,1,8346,32907,0.037579039
17,12,2,1,1,6879,18162,0.056119943
18,3,2,1,1,13500,30388,0.06582445
18,5,2,1,1,2319,5646,0.06085769
18,6,2,1,1,11435,21310,0.079507538
18,12,2,1,1,8827,21974,0.059519544
18,13,2,1,1,23689,46799,0.075000773
18,14,2,1,1,13906,28372,0.072621942
19,5,2,1,1,14272,35634,0.059343868
19,6,2,1,1,5849,18487,0.046878183
19,8,2,1,1,11410,27983,0.060415303
19,9,2,1,1,18500,45968,0.059630947
19,10,2,1,1,6541,15097,0.064196164
20,4,2,1,1,9780,16988,0.08530062
20,5,2,1,1,5383,12376,0.064446549
20,10,2,1,1,9110,20528,0.065754779
20,11,2,1,1,7789,13704,0.084215094
20,12,2,1,1,10921,26298,0.061531184
20,13,2,1,1,11958,24140,0.073396757
20,14,2,1,1,7427,16279,0.067599158
21,1,2,1,1,13111,37130,0.052319846
21,2,2,1,1,11115,31978,0.051500774
21,4,2,1,1,10680,25711,0.061547139
21,5,2,1,1,12969,30626,0.062743942
21,6,2,1,1,9103,21415,0.062982812
21,7,2,1,1,12049,27763,0.064304327
21,10,2,1,1,8176,17907,0.067650909
21,11,2,1,1,5604,19179,0.043294004
21,12,2,1,1,9390,19236,0.072327992
21,13,2,1,1,9337,22117,0.062551356
22,2,2,1,1,13797,34722,0.058875623
22,8,2,1,1,8020,23983,0.049548036
22,9,2,1,1,15191,30512,0.073768554
22,11,2,1,1,9761,29852,0.048448068
23,2,2,1,1,7283,22659,0.047623922
23,3,2,1,1,14806,37698,0.058193573
23,5,2,1,1,6686,23397,0.042341065
23,7,2,1,1,7410,23806,0.046119795
23,8,2,1,1,3200,13622,0.034806847
23,9,2,1,1,9624,27631,0.051607711
23,10,2,1,1,9684,26389,0.054373518
24,2,2,1,1,6944,14052,0.073219567
24,3,2,1,1,14241,30637,0.068873132
24,4,2,1,1,9038,18225,0.073478517
24,6,2,1,1,9932,19254,0.076431314
24,8,2,1,1,14966,28076,0.07898163
24,9,2,1,1,10440,22672,0.068228567
24,10,2,1,1,8604,16654,0.076548631
24,12,2,1,1,10784,18910,0.084497515
24,13,2,1,1,7288,13831,0.078074708
25,3,2,1,1,9353,22955,0.060371119
25,6,2,1,1,12050,32957,0.054174506
25,7,2,1,1,12582,26848,0.06943738
25,8,2,1,1,12216,28781,0.062889585
25,9,2,1,1,9736,26624,0.054182975
26,5,2,1,1,12422,22586,0.081490651
26,6,2,1,1,9798,24133,0.060156382
26,7,2,1,1,9894,26818,0.054663962
26,9,2,1,1,7482,12754,0.086921433
26,10,2,1,1,9145,16654,0.081361835
26,13,2,1,1,4485,8102,0.082021139
26,16,2,1,1,11944,20964,0.084417256
27,2,2,1,1,6757,12121,0.082598289
27,6,2,1,1,7077,21798,0.048104769
27,7,2,1,1,9027,16531,0.080909572
27,8,2,1,1,8424,15628,0.079867583
27,9,2,1,1,8579,16469,0.077183599
28,3,2,1,1,6439,14110,0.067615614
28,8,2,1,1,9169,20266,0.06703622
28,9,2,1,1,11284,21805,0.076676551
28,10,2,1,1,12694,30681,0.061303401
28,11,2,1,1,10472,18891,0.08213538
28,12,2,1,1,8567,24902,0.050974165
28,13,2,1,1,14634,29641,0.073151929
28,14,2,1,1,9451,18093,0.077396757
28,16,2,1,1,8635,17375,0.073636496
29,3,2,1,1,5858,20039,0.043314061
29,4,2,1,1,7878,16665,0.070043243
29,5,2,1,1,7152,15333,0.069112397
29,6,2,1,1,7148,21405,0.049479454
29,7,2,1,1,14474,37658,0.056949105
29,8,2,1,1,12277,39603,0.045932465
30,1,2,1,1,14882,38132,0.057826552
30,2,2,1,1,9027,21602,0.06191631
30,6,2,1,1,9958,21363,0.069066185
30,8,2,1,1,15606,35142,0.065799215
0,1,2.5,1,0,3682,10431,0.052301413
0,2,2.5,1,0,5178,11866,0.064656663
0,3,2.5,1,0,5873,16853,0.051634309
0,4,2.5,1,0,5621,11520,0.072296403
0,5,2.5,1,0,3118,7695,0.060037565
0,6,2.5,1,0,4000,11753,0.050427431
1,1,2.5,1,0,4578,10880,0.062345122
1,2,2.5,1,0,4780,9765,0.072528924
1,3,2.5,1,0,6708,19673,0.050521711
1,4,2.5,1,0,4228,13793,0.0454184
1,5,2.5,1,0,3268,9554,0.050681843
1,6,2.5,1,0,7781,19075,0.060440278
1,7,2.5,1,0,6841,18826,0.053841496
1,8,2.5,1,0,3911,6183,0.093722563
1,9,2.5,1,0,4014,6250,0.095159672
1,10,2.5,1,0,4534,12182,0.05514657
1,11,2.5,1,0,6402,15681,0.060491938
1,12,2.5,1,0,9395,20670,0.067346014
1,14,2.5,1,0,7068,15939,0.065703886
2,1,2.5,1,0,7015,12629,0.082302741
2,3,2.5,1,0,4229,9834,0.063718137
2,4,2.5,1,0,3469,7651,0.06718026
2,5,2.5,1,0,3377,8645,0.057879084
2,6,2.5,1,0,2879,4566,0.093424621
2,7,2.5,1,0,3935,6502,0.089671277
2,8,2.5,1,0,5031,10273,0.072562563
2,9,2.5,1,0,3642,8934,0.060401758
2,10,2.5,1,0,3670,7998,0.06798925
2,11,2.5,1,0,3758,5756,0.096736769
2,12,2.5,1,0,4318,6767,0.094545758
