,gene,gene_number,x,y
8969,Vim,261,1695.5593218769716,1550.5023412431249
8970,Vim,261,1696.113352485319,1404.878901490859
8971,Vim,261,1701.1200054411695,1560.1379023752074
8972,Vim,261,1702.3844148936391,1403.0220711827185
8973,Vim,261,1705.975090631308,1556.8424028065897
8974,Vim,261,1706.2709270586436,1560.60626506346
8975,Vim,261,1709.6075691451028,1372.9753595711682
8976,Vim,261,1710.8947265115312,1585.3789382317066
8977,Vim,261,1714.0206606661718,1379.5179276626927
8978,Vim,261,1715.2262246788848,1436.9680645357378
8979,Vim,261,1716.7726077738864,1600.7946965821743
8980,Slc25a1,208,1719.0763671698655,1363.762290651983
8981,Vim,261,1721.4248421196608,1593.931759352778
8982,Vim,261,1722.1557302867302,1607.8859413729615
8983,Vim,261,1723.95846040617,1551.4859169895317
8984,Vim,261,1723.767610460994,1396.260562239183
8985,Vim,261,1726.1233242389026,1442.7958916586208
8986,Vim,261,1726.2485158880795,1589.217002993867
8987,Vim,261,1726.156120423839,1363.601975764491
8988,Vim,261,1727.19819260531,1615.493436238773
8989,Vim,261,1727.890169313447,1449.5010639641214
8990,Vim,261,1728.9628985463964,1433.8342126400728
8991,Vim,261,1730.3646946235551,1539.014132650189
8992,Vim,261,1730.9854961501806,1560.922362736439
8993,Vim,261,1730.4324106877807,1403.0074524980091
8994,Vim,261,1731.4018556126034,1374.7927313567302
8995,Vim,261,1732.4347897876107,1380.9714550324377
8996,Vim,261,1734.222865924366,1563.793641708503
8997,Vim,261,1735.624220268076,1571.8007433265464
8998,Vim,261,1735.251173792948,1369.3869824335948
8999,Vim,261,1735.964407686163,1587.212600222347
9000,Vim,261,1738.640483100055,1448.835134286688
9001,Vim,261,1738.6345892227257,1385.080257454347
9002,Vim,261,1739.279360604352,1407.5992694504894
9003,Vim,261,1740.345566267642,1371.3686349714271
9004,negative_control,574,1742.3960492595031,1543.990161889243
9005,Vim,261,1743.783971439981,1434.7265175441307
9006,Vim,261,1747.4020042326645,1374.1037566187636
9007,Vim,261,1747.1929960440325,1414.293259068605
9008,Vim,261,1749.577411078414,1457.3095357296484
9009,Vim,261,1750.1738833115533,1642.887659836847
9010,Vim,261,1750.840448373831,1358.999913829235
9011,Vim,261,1750.795537519692,1583.7884334115151
9012,Vim,261,1751.2610426493704,1609.7762733617271
9013,Vim,261,1751.3873273642544,1417.3527815538375
9014,Vim,261,1752.293571465567,1438.0544118866633
9015,Vim,261,1753.6028832443053,1558.8635323267013
9016,Vim,261,1753.3140581566677,1360.4844516454395
9017,Vim,261,1753.1835027707486,1366.3031787204286
9018,Vim,261,1754.3232833924606,1618.9651383889268
9019,Vim,261,1754.9477618320557,1596.5552925873728
9020,Vim,261,1755.3636978762618,1566.6730208727463
9021,Vim,261,1756.0090988527809,1602.0281712526007
9022,Vim,261,1756.3229765991368,1482.983664954627
9023,Slc25a1,208,1756.7946086310071,1354.4472705569624
9024,Vim,261,1757.2200498681646,1511.5881431827318
9025,Vim,261,1757.9300230479876,1527.3551666459066
9026,Vim,261,1758.1869415452948,1478.107346558646
9027,Vim,261,1758.1144474218574,1443.7278574369534
9028,Vim,261,1758.1273361519727,1611.1799196490642
9029,Vim,261,1758.8364764063483,1555.3310514639818
9030,Vim,261,1760.1953971621183,1471.9333713993065
9031,Vim,261,1760.9416722065018,1652.0689266493223
9032,Vim,261,1760.788801563733,1468.7887761773563
9033,Vim,261,1760.7707372238483,1432.46711909512
9034,Vim,261,1762.5817983097036,1606.7358487202505
9035,Vim,261,1763.3872519145966,1522.987071900968
9036,Vim,261,1763.5152469407217,1526.0512755557595
9037,Vim,261,1764.9857753905824,1661.2800547923937
9038,Vim,261,1765.1478034231875,1398.282021996172
9039,Vim,261,1765.69906138243,1490.1629551356866
9040,Vim,261,1766.1103590877892,1659.3151760301605
9041,Vim,261,1766.9568758904825,1558.833990625012
9042,Vim,261,1767.4129038363783,1481.2339720597097
9043,Vim,261,1768.0125271384195,1484.6977798481482
9044,Vim,261,1767.9676051362194,1430.5346032109055
9045,Vim,261,1768.1161386759209,1372.1687701022402
9046,negative_control,2080,1771.4437194576865,1383.9086995079913
9047,Vim,261,1771.211400842562,1365.2326438059365
9048,Vim,261,1773.2568633603685,1427.768179799144
9049,Vim,261,1774.033268293686,1659.0312764062562
9050,Vim,261,1774.722562336669,1406.835347393222
9051,Vim,261,1775.5340550862134,1625.763339348329
9052,Vim,261,1775.5885301298272,1564.9514460364994
9053,Vim,261,1776.3187995095543,1591.305321354287
9054,Vim,261,1776.153387348351,1506.4431917548022
9055,Vim,261,1776.828100483526,1437.439699053879
9056,Vim,261,1777.7710778617125,1488.6578240473598
9057,Vim,261,1777.5186728552635,1473.2660235770295
9058,Vim,261,1778.196689402341,1670.8139519699866
9059,Vim,261,1779.3930833120876,1355.0595791829498
9060,Vim,261,1779.36884852273,1624.6219991618532
9061,Vim,261,1779.3997083504082,1678.9549089857164
9062,Vim,261,1782.3853397162952,1547.8780143880183
9063,Vim,261,1782.6393607782638,1590.407716115608
9064,Vim,261,1782.5193764887167,1359.7418757325274
9065,Vim,261,1782.927247920762,1471.4120244502226
9066,Vim,261,1783.8136219594696,1498.7388104649283
9067,Vim,261,1785.5154287311902,1517.952267791955
9068,Vim,261,1785.725674489261,1627.5888909561138
9069,Vim,261,1786.309176160272,1665.8548358962987
9070,Vim,261,1786.533004897291,1564.8098952845835
9071,Vim,261,1786.905214733854,1560.6754210474346
9072,Vim,261,1787.9967427059046,1358.7454366682066
9073,Vim,261,1788.1010699943297,1588.2895603693498
9074,Vim,261,1788.8980906606512,1426.5098591826468
9075,Vim,261,1788.8191878234757,1519.2548574616903
9076,Vim,261,1789.0792530340482,1376.61663029414
9077,Vim,261,1789.311419654419,1640.9391175804892
9078,Vim,261,1790.428276982142,1451.2156551035494
9079,Slc25a1,208,1790.367172874484,1540.9878561789944
9080,Vim,261,1790.5418971102915,1472.031182836285
9081,Vim,261,1791.0971814354348,1481.5389806645571
9082,Vim,261,1793.7282553613636,1443.6907772934474
9083,Vim,261,1793.6307442933455,1551.3746320449743
9084,Tnfrsf1a,233,1794.6801996445313,1623.0054035866856
9085,Vim,261,1797.3322846918288,1520.2454843568228
9086,Vim,261,1797.7476211613114,1381.6074573255903
9087,Vim,261,1797.9144204888794,1675.9913557694051
9088,Vim,261,1799.038761516218,1427.9264453582225
9089,Vim,261,1799.2830956486762,1497.0906710937725
9090,Vim,261,1799.4278619793906,1493.1220559338826
9091,Vim,261,1799.2819232644622,1478.3266701274024
9092,Vim,261,1799.8704744275503,1672.0851069432435
9093,Vim,261,1800.501910385448,1515.9888424572944
9094,Vim,261,1801.1811853963573,1509.7090882555292
9095,Vim,261,1801.2975171370858,1664.840589241931
9096,Vim,261,1801.5811256132347,1420.707344405459
9097,Vim,261,1802.5103294532428,1357.9132011502752
9098,Vim,261,1804.0512162459263,1581.0835930224744
9099,Vim,261,1804.369510782876,1361.9038689105896
9100,Vim,261,1804.9516251903483,1434.6318669377536
9101,Vim,261,1805.481679736844,1524.6256727892687
9102,Vim,261,1805.692514773536,1331.9064336048116
9103,Vim,261,1806.118475748032,1348.2841658584612
9104,negative_control,570,1806.1045310134157,1607.5639087982856
9105,Vim,261,1806.0470563237584,1591.5510179077544
9106,Vim,261,1807.2926449154995,1367.695801705681
9107,Vim,261,1808.1584790138727,1649.3623820957266
9108,Vim,261,1808.0693861696163,1478.1825817960223
9109,Vim,261,1808.2077847736812,1681.5903504274186
9110,Vim,261,1808.3755399308493,1522.109956100254
9111,Vim,261,1808.78091244226,1574.1515393548664
9112,Vim,261,1809.6433318112704,1532.6427356216705
9113,Vim,261,1810.2143155397264,1566.7759254461355
9114,Vim,261,1810.9635165674213,1703.8390346319848
9115,Vim,261,1810.8556655718808,1472.216771461221
9116,Vim,261,1812.1140544473444,1363.1194749790702
9117,Vim,261,1812.3624162091155,1552.9316651359702
9118,Vim,261,1812.7739936247845,1572.6890830983525
9119,Vim,261,1814.2417832682604,1441.545482768715
9120,Vim,261,1814.3223807524264,1436.251626177816
9121,Vim,261,1814.7066744475228,1395.646320381485
9122,Vim,261,1815.59186312426,1510.057497040354
9123,Vim,261,1816.0199069991668,1505.779038931129
9124,Vim,261,1816.501528954464,1616.2933867198271
9125,Vim,261,1817.6528023984129,1528.1053753670365
9126,Vim,261,1818.4251683042628,1495.8308473994816
9127,Vim,261,1819.267434463488,1689.52463883868
