gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
251,α⁵,α³,α³,0,α⁵,0,0,0,1
252,α³,α⁶,α²,0,α⁶,0,0,0,1
253,α²,α³,α⁶,0,0,α,α,0,0
254,α⁴,α⁶,α⁴,0,0,α²,α,0,0
255,1,α⁵,α⁵,0,0,α⁴,α,0,0
256,α⁵,α⁴,α,0,0,α⁵,α,0,0
257,α³,α⁴,1,0,0,α²,α²,0,0
258,α⁵,1,α⁵,0,0,α³,α²,0,0
259,α,α⁶,α⁶,0,0,α⁵,α²,0,0
260,α⁶,α⁵,α²,0,0,α⁶,α²,0,0
261,α⁴,α⁵,α,0,0,α³,α³,0,0
262,α⁶,α,α⁶,0,0,α⁴,α³,0,0
263,α²,1,1,0,0,α⁶,α³,0,0
264,1,α⁶,α³,0,0,1,α³,0,0
265,α,1,α⁴,0,0,α,α⁴,0,0
266,α⁵,α⁶,α²,0,0,α⁴,α⁴,0,0
267,1,α²,1,0,0,α⁵,α⁴,0,0
268,α³,α,α,0,0,1,α⁴,0,0
269,α⁴,α²,α²,0,0,α,α⁵,0,0
270,α²,α,α⁵,0,0,α²,α⁵,0,0
271,α⁶,1,α³,0,0,α⁵,α⁵,0,0
272,α,α³,α,0,0,α⁶,α⁵,0,0
273,α⁵,α³,α³,0,0,α²,α⁶,0,0
274,α³,α²,α⁶,0,0,α³,α⁶,0,0
275,1,α,α⁴,0,0,α⁶,α⁶,0,0
276,α²,α⁴,α²,0,0,1,α⁶,0,0
277,α³,α⁵,α³,0,0,α,1,0,0
278,α⁶,α⁴,α⁴,0,0,α³,1,0,0
279,α⁴,α³,1,0,0,α⁴,1,0,0
280,α,α²,α⁵,0,0,1,1,0,0
281,α⁴,α⁴,α²,0,0,α²,0,α,0
282,α,1,α,0,0,α³,0,α,0
283,1,α²,α⁶,0,0,α⁴,0,α,0
284,α⁶,α³,α³,0,0,1,0,α,0
285,1,α⁴,α⁴,0,0,α,0,α²,0
286,α⁵,α⁵,α³,0,0,α³,0,α²,0
287,α²,α,α²,0,0,α⁴,0,α²,0
288,α,α³,1,0,0,α⁵,0,α²,0
289,α,α⁵,α⁵,0,0,α²,0,α³,0
290,α⁶,α⁶,α⁴,0,0,α⁴,0,α³,0
291,α³,α²,α³,0,0,α⁵,0,α³,0
292,α²,α⁴,α,0,0,α⁶,0,α³,0
293,α²,α⁶,α⁶,0,0,α³,0,α⁴,0
294,1,1,α⁵,0,0,α⁵,0,α⁴,0
295,α⁴,α³,α⁴,0,0,α⁶,0,α⁴,0
296,α³,α⁵,α²,0,0,1,0,α⁴,0
297,α⁴,α⁶,α³,0,0,α,0,α⁵,0
298,α³,1,1,0,0,α⁴,0,α⁵,0
299,α,α,α⁶,0,0,α⁶,0,α⁵,0
300,α⁵,α⁴,α⁵,0,0,1,0,α⁵,0
301,α⁶,α⁵,α⁶,0,0,α,0,α⁶,0
302,α⁵,1,α⁴,0,0,α²,0,α⁶,0
303,α⁴,α,α,0,0,α⁵,0,α⁶,0
304,α²,α²,1,0,0,1,0,α⁶,0
305,α³,α³,α,0,0,α,0,1,0
306,1,α⁶,1,0,0,α²,0,1,0
307,α⁶,α,α⁵,0,0,α³,0,1,0
308,α⁵,α²,α²,0,0,α⁶,0,1,0
309,1,α⁴,α⁵,0,0,α²,0,0,α
310,α⁶,1,1,0,0,α³,0,0,α
311,α⁴,α²,α⁴,0,0,α⁴,0,0,α
312,α⁵,α⁵,α,0,0,α⁶,0,0,α
313,α,α⁵,α⁶,0,0,α³,0,0,α²
314,1,α,α,0,0,α⁴,0,0,α²
315,α⁵,α³,α⁵,0,0,α⁵,0,0,α²
316,α⁶,α⁶,α²,0,0,1,0,0,α²
317,1,1,α³,0,0,α,0,0,α³
318,α²,α⁶,1,0,0,α⁴,0,0,α³
319,α,α²,α²,0,0,α⁵,0,0,α³
320,α⁶,α⁴,α⁶,0,0,α⁶,0,0,α³
321,α,α,α⁴,0,0,α²,0,0,α⁴
