nImages,q,n,mhd,w3,w4,w5,w6,Generating Notebook
110,11,11,3,1650,26400,383460,3816120,gen_extended_codes_cuda.jl.ipynb
120,11,12,3,2200,39600,657360,7632240,gen_extended_codes_cuda.jl.ipynb
70,11,7,4,0,350,1470,5320,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
80,11,8,4,0,700,3920,21280,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
90,11,9,4,0,1260,8820,63840,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
100,11,10,4,0,2100,17640,159600,gen_RS_q11k7_code.jl.ipynb
110,11,11,4,0,3300,32340,351120,gen_extended_codes_cuda.jl.ipynb
120,11,12,4,0,4950,55440,702240,gen_extended_codes_cuda.jl.ipynb
70,11,7,5,0,0,210,420,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
80,11,8,5,0,0,560,1680,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
90,11,9,5,0,0,1260,5040,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
100,11,10,5,0,0,2520,12600,gen_RS_q11k7_code.jl.ipynb
110,11,11,5,0,0,4620,27720,gen_extended_codes_cuda.jl.ipynb
120,11,12,5,0,0,7920,55440,gen_extended_codes_cuda.jl.ipynb
108,13,9,2,11088,201096,2411640,19294128,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
120,13,10,2,15840,335160,4823280,48235320,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
132,13,11,2,21780,526680,8842680,106117704,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
144,13,12,2,29040,790020,15158880,212235408,gen_RS_q11k7_code.jl.ipynb
156,13,13,2,37752,1141140,24633180,394151472,gen_extended_codes_cuda.jl.ipynb
168,13,14,2,48048,1597596,38318280,689765076,gen_extended_codes_cuda.jl.ipynb
108,13,9,3,1008,15120,185976,1483776,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
120,13,10,3,1440,25200,371952,3709440,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
132,13,11,3,1980,39600,681912,8160768,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
144,13,12,3,2640,59400,1168992,16321536,gen_RS_q11k7_code.jl.ipynb
