,rmse
"(12, 1)",39.68066355857574
"(12, 2)",29.187902478189468
"(13, 1)",29.112251969986026
"(13, 2)",20.360157627673043
"(14, 1)",30.076470262667826
"(14, 2)",37.86253814896832
"(15, 1)",38.12844440253963
"(15, 2)",41.3585080394319
"(16, 1)",40.302571214361855
"(16, 2)",38.25464318584437
"(17, 1)",23.7571682191538
"(17, 2)",38.53137866708817
"(18, 1)",31.539218805869318
"(18, 2)",17.31439936141488
"(19, 1)",29.005145596248298
"(19, 2)",49.770151194997524
"(20, 1)",36.49325532723391
"(20, 2)",53.35262522867191
"(21, 1)",32.03906156762374
"(21, 2)",52.976465235978885
"(22, 1)",24.512979949320687
"(22, 2)",42.158723358791676
"(23, 1)",27.214145223341248
"(23, 2)",33.882099283741745
"(24, 1)",29.52606989866259
"(24, 2)",25.451306470797352
"(25, 1)",24.99186711466348
"(25, 2)",52.55988726842982
"(26, 1)",25.177344278877488
"(26, 2)",35.9258184556901
"(27, 1)",48.2779973071848
"(27, 2)",34.86168870547403
"(28, 1)",28.154511941308325
"(28, 2)",28.0621625248061
"(29, 1)",30.40165813683651
"(29, 2)",29.523145623768396
"(30, 1)",30.094898258549122
"(30, 2)",19.731762674839782
"(31, 1)",27.28781997956968
"(31, 2)",27.454350023310027
"(32, 1)",31.217349631261357
"(32, 2)",24.624811078437993
"(33, 1)",32.50130774977375
"(34, 1)",23.187118545313567
0,47.065508091017854
1,39.678349380643944
2,31.421326746533378
3,38.034367561587175
4,42.04804973370448
5,30.435365207975487
6,38.875199223638944
7,27.149859031404286
8,41.80039550432565
9,29.409013012209677
10,29.36331440967287
11,30.480435946125386
12,26.365110605689228
13,29.39401030607367
14,21.841788383890687
15,23.096833060353426
16,30.565101150087855
17,24.61327898318896
18,34.7185636705063
19,28.21051270743947
20,35.6177336878096
21,33.310970482594406
22,33.34173766210309
23,37.04481888555769
24,33.079839940026545
25,30.178376367095446
26,26.950162377397515
27,22.934715151964205
28,23.72978015204313
29,22.193361867624475
30,18.359220493142946
31,16.909217135620242
32,18.03834212748023
33,30.151343630163325
"(1, 1)",41.8798103241289
"(1, 2)",68.35771530515602
"(2, 1)",42.727684375149366
"(2, 2)",50.77431919508962
"(3, 1)",42.71121610792592
"(3, 2)",45.7363844083147
"(4, 1)",37.071197281596596
"(4, 2)",52.0298310435531
"(5, 1)",52.58102153024633
"(5, 2)",41.7447226667988
"(6, 1)",49.27411561986426
"(6, 2)",42.553336574010515
"(7, 1)",36.84044384409702
"(7, 2)",50.11282131814255
"(8, 1)",48.55631315974435
"(8, 2)",38.879399672838574
"(9, 1)",46.463997259987416
"(9, 2)",38.00053212393253
"(10, 1)",44.32502832736495
"(10, 2)",47.256887197261996
"(11, 1)",52.236952668985
"(11, 2)",50.735574753478296
"(12, 1)",38.440251789784604
"(12, 2)",52.19813723474116
"(13, 1)",34.314558463223
"(13, 2)",36.972718646050545
"(14, 1)",38.05863471104363
"(14, 2)",43.85398079369206
"(15, 1)",34.68004226042411
"(15, 2)",50.36410687178575
"(16, 1)",31.577267355421224
"(16, 2)",56.049878703881845
"(17, 1)",36.981717137759716
"(17, 2)",44.63045233658044
"(18, 1)",38.66663611413468
"(18, 2)",36.332263831503255
"(19, 1)",36.8253691881075
"(19, 2)",42.27413789456384
"(20, 1)",36.449048265084535
"(20, 2)",51.461570189377134
"(21, 1)",47.24541485646246
"(21, 2)",42.49916608425909
"(22, 1)",30.24311105119923
"(22, 2)",35.96893714151909
"(23, 1)",36.07543468277447
"(23, 2)",45.384919115765975
"(24, 1)",35.971453997033
"(24, 2)",46.71511454788141
"(25, 1)",30.563071283198177
"(25, 2)",45.672407738227456
"(26, 1)",33.28365942361716
"(26, 2)",32.33992228251571
"(27, 1)",35.36365332293039
"(27, 2)",32.48438232992701
"(28, 1)",26.099898736693422
"(28, 2)",27.777966103963685
"(29, 1)",31.11875108833052
"(29, 2)",32.956006029420394
"(30, 1)",28.40619682922191
"(30, 2)",33.1028846921229
"(31, 1)",25.996726011124778
"(31, 2)",26.24656760412966
"(32, 1)",34.559714693284256
"(32, 2)",34.47165620949825
"(33, 1)",24.389520001083955
"(34, 1)",29.431193830856824
0,54.434868781048664
1,33.63392785864354
2,37.0560308885835
3,52.05449372468167
4,35.433074660900004
5,35.98877884742252
6,49.642816741153915
7,33.809700732650995
8,38.91810531467721
9,36.286093455962664
10,49.840739752539825
11,46.21336478454053
12,29.99098955091958
13,33.07091902777639
14,50.546480749822635
15,53.71531368410662
16,35.512956857003566
17,30.56487125281699
18,34.70533254773072
19,51.466906211827585
20,34.82606139027864
21,38.81022843828872
22,37.51634726493881
23,37.401617252919166
24,30.882980381724163
25,16.232687448814353
26,15.374808036592503
27,19.938972909194977
28,19.141194672303925
29,25.44418055704623
30,17.40632343687903
31,22.412316879870552
32,17.07318272958666
33,24.71531622225876
"(1, 1)",55.601064537974004
"(1, 2)",51.530116077324294
"(2, 1)",39.290410719454336
"(2, 2)",60.87206884359792
"(3, 1)",36.863014687241154
"(3, 2)",62.862616917993726
"(4, 1)",36.3822007966429
"(4, 2)",37.586134988448585
"(5, 1)",40.021916241144424
"(5, 2)",36.01405502538488
"(6, 1)",35.19083187299459
"(6, 2)",23.15388421696477
"(7, 1)",33.39298199711018
"(7, 2)",119.53749059608488
"(8, 1)",26.139149471889894
"(8, 2)",31.743204047464292
"(9, 1)",27.645292624804796
"(9, 2)",37.476395558199165
"(10, 1)",29.65590083643735
"(10, 2)",31.95939837514193
"(11, 1)",28.84671874614402
"(11, 2)",18.27531350391876
"(12, 1)",28.542242050386847
"(12, 2)",17.53015095235156
"(13, 1)",29.510753214521067
"(13, 2)",35.39083602987423
"(14, 1)",34.97761993535547
"(14, 2)",34.77682391415424
"(15, 1)",39.08137525414314
"(15, 2)",32.455002067654696
"(16, 1)",41.49034904231752
"(16, 2)",45.06043611977175
"(17, 1)",20.67291614836932
"(17, 2)",21.058666629721248
"(18, 1)",25.323421658271503
"(18, 2)",17.524981144074378
"(19, 1)",34.390180024864634
"(19, 2)",32.423377614457834
"(20, 1)",32.23005486041987
"(20, 2)",35.87377671037984
"(21, 1)",24.95991898651871
"(21, 2)",25.67038729926907
"(22, 1)",30.098981347828417
"(22, 2)",21.915966619919352
"(23, 1)",28.819755025511192
"(23, 2)",30.4140537557783
"(24, 1)",24.481048082733086
"(24, 2)",29.685252172638954
"(25, 1)",34.28816267856207
"(25, 2)",41.45806936484994
"(26, 1)",33.20323836194617
"(26, 2)",32.5775867093671
"(27, 1)",33.99871190834616
"(27, 2)",33.77100815169479
"(28, 1)",34.54665356057042
"(28, 2)",31.65235729340357
"(29, 1)",26.7572179735771
"(29, 2)",35.743278453903706
"(30, 1)",27.785148628820895
"(30, 2)",25.685350421447083
"(31, 1)",31.793742189461632
"(31, 2)",28.10601085251327
"(32, 1)",36.635355885380434
"(32, 2)",31.100024776141225
"(33, 1)",33.164878876692114
"(34, 1)",40.30723554620712
0,43.32649622408517
1,36.9035095805812
2,45.26583286607636
3,39.33879215937386
4,37.94734653988048
5,31.032585719360082
6,140.26786524635787
7,36.62206696583656
8,30.201537690911884
9,24.994805796721216
10,27.813971313223295
11,26.54738200148609
12,16.397254166350745
13,16.365285586268232
14,31.51280940723093
15,36.94592293039416
16,33.18495225246225
17,15.685672293031375
18,35.547670700291775
19,34.579878999664565
20,32.25877373733386
21,21.072504490596284
22,28.60068712958586
23,29.41977467761253
24,19.79547894824001
25,16.056105467469177
26,14.504889088323813
27,15.870108104824897
28,17.25780957728273
29,19.204145781289135
30,20.30581839850329
31,22.0797621988755
32,13.41004825235636
33,17.9469664448653
"(1, 1)",43.502523423018864
"(1, 2)",30.638326780188986
"(2, 1)",46.11287385116799
"(2, 2)",40.21036047325464
"(3, 1)",53.50670356786173
"(3, 2)",40.853894582290735
"(4, 1)",50.421417357787234
"(4, 2)",53.75329466985619
"(5, 1)",45.8651011093068
"(5, 2)",28.065887443784714
"(6, 1)",38.26999376782312
"(6, 2)",20.142622569731174
"(7, 1)",37.26643788749478
"(7, 2)",30.957556501298043
"(8, 1)",44.97262459083616
"(8, 2)",36.44109316440028
"(9, 1)",41.26791465632012
"(9, 2)",38.28245157012005
"(10, 1)",31.09650073488667
"(10, 2)",42.02476677481968
"(11, 1)",36.71573583066905
"(11, 2)",29.544963932447164
"(12, 1)",33.94846612625839
"(12, 2)",26.77276668569272
"(13, 1)",32.186579236696105
"(13, 2)",36.162857553560805
"(14, 1)",35.821170721419136
"(14, 2)",40.31940182812762
"(15, 1)",29.287304945172313
"(15, 2)",28.379050071447484
"(16, 1)",32.38804468866301
"(16, 2)",37.7749356942444
"(17, 1)",28.942262430222964
"(17, 2)",30.33683296415848
"(18, 1)",36.92933724792172
"(18, 2)",28.200797289634437
"(19, 1)",41.60411182409673
"(19, 2)",27.76533465646298
"(20, 1)",37.35590814183891
