hyb,rmse
36,30.25992326441503
37,23.082578364282245
38,27.379102203460487
39,30.083698503258052
40,26.003805149415175
41,27.802260221039127
42,18.32470420571536
43,22.464172007428836
44,27.51573106346123
45,33.45411106305663
46,26.10954295304398
47,33.08741997948599
48,23.763591940343108
49,34.227470073948304
50,32.019932158729524
52,36.40391291593021
54,36.16256686984786
55,31.31991064075673
57,28.50447226291322
58,28.867055419487457
59,30.781996449734635
60,28.465886521499392
61,31.055833557570768
62,30.46195574318512
63,31.564084805164565
64,27.875861281938906
65,31.869075138210164
66,28.85965366581433
67,23.640409005681033
68,32.39927333248529
69,28.848800888781447
70,27.192615667216547
71,29.24990893560805
72,32.65413326989931
73,34.91732304347753
74,33.63791538385954
75,31.983800444977263
76,30.654963488711577
77,32.00513137555805
78,27.6529287893364
79,34.54724460162733
80,30.915799460552996
81,31.638318355787483
82,29.230150291655164
83,25.116642437339355
84,31.8176309278278
85,28.066217716083763
86,28.33374614243668
87,22.769820295362262
88,28.31940509964434
89,29.144400074902325
90,33.61398163591223
91,30.604098292602394
92,30.900696919354868
93,28.36989515288695
94,35.95151725234594
95,31.87447853597356
96,29.181545083196767
97,28.05155375200611
99,24.441517019424367
0,11.923200325319666
1,16.191912753950092
2,12.67596076317446
3,15.352317393025672
4,16.079072489846393
5,17.53218154462155
6,16.53185989629754
7,20.397454335447073
8,16.762783689989934
9,16.98138724118486
10,17.94811785328389
11,18.76934735315345
12,18.678708857203166
13,20.90279188752444
14,19.500888321549102
15,18.370826943787062
16,17.894833651383323
17,19.956023293564083
18,18.610000937441768
19,19.66818022915071
20,21.071919329520544
21,19.312088139142087
22,19.594231903980123
23,20.30585898717211
24,21.031940369005106
25,19.18445869093842
26,19.539321461552756
27,20.137663786968044
28,20.20355427766184
29,21.239742457470967
30,20.68568951351082
31,21.024855122093058
32,21.03112981973398
33,23.73384341743472
34,22.80682484802361
35,21.511276022070028
36,26.201644283832202
37,22.33523598841412
38,23.524049211476054
39,24.214047638323194
40,26.530989047603825
41,23.37619025819366
42,24.944673917647066
43,25.00952161960751
44,25.038346014563533
45,25.264141282683266
46,25.5965932122331
47,26.003192700965446
48,23.895704914214626
49,28.82616864949438
50,30.43805124289546
51,30.81653535903037
52,32.790691231381565
53,30.97859828557694
54,27.13268895643307
55,20.803304140072687
56,24.06557513490246
57,24.028356566294352
58,24.704820483007378
59,23.837428742299355
60,25.497882216309698
61,25.716926275252607
63,22.68308461570274
67,27.789630973696216
68,26.789169588410203
69,24.727755317141348
72,24.55135058421529
82,23.08927716432211
83,24.23434559985658
86,29.804987960131466
87,24.845926235586056
88,25.416489490813795
90,24.12143497547139
94,24.88226010501882
95,24.654512709337354
96,20.710788835211044
97,25.58022192844247
98,24.694241661125577
99,24.88262747908155
0,20.5715409810801
1,18.632151618276954
2,26.44470773382269
3,25.38721225098953
4,25.71717601740079
5,23.321792093751704
6,24.70617211985706
7,25.4734068542725
8,24.269391719628434
9,23.475110694274772
10,24.449043218157414
11,28.350327081923393
12,28.935715312895628
13,28.62187611280734
14,26.977440775351297
15,26.067847143387233
16,27.089870263268416
17,28.62464591377821
18,28.373403569314522
19,29.54586612755307
20,30.515747023282234
21,31.008404539667964
22,32.54513519991194
23,33.706106464705854
24,34.119000044876024
25,35.488232522342294
26,37.53401926748979
27,36.96123781573515
28,35.52167258705764
29,36.31110741284269
30,36.36074883546887
31,41.74058673824049
32,41.787969985722455
