,Unnamed: 0.1,Unnamed: 0,pos,cell,ch,lvf,zvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,est_fdr,z
28,0,0,6.0,35.0,,5.0,1.0,2.0,0.0,0.0,379.0,99,379.0,0.0,0.0387036184832174,0
29,0,0,6.0,36.0,,5.0,1.0,2.0,0.0,0.0,125.0,37,125.0,0.0,0.0438578458173865,0
30,0,0,6.0,37.0,,5.0,1.0,2.0,0.0,0.0,696.0,252,696.0,0.0,0.0536471785976885,0
31,0,0,6.0,38.0,,5.0,1.0,2.0,0.0,0.0,448.0,115,448.0,0.0,0.0380342986018901,0
32,0,0,6.0,39.0,,5.0,1.0,2.0,0.0,0.0,560.0,104,560.0,0.0,0.0275169882058892,0
33,0,0,6.0,40.0,,5.0,1.0,2.0,0.0,0.0,446.0,116,446.0,0.0,0.0385370721338083,0
34,0,0,6.0,41.0,,5.0,1.0,2.0,0.0,0.0,758.0,160,758.0,0.0,0.0312756512995696,0
35,0,0,6.0,42.0,,5.0,1.0,2.0,0.0,0.0,7.0,5,7.0,0.0,0.1058345700226509,0
36,0,0,6.0,43.0,,5.0,1.0,2.0,0.0,0.0,679.0,251,679.0,0.0,0.0547721176818255,0
37,0,0,6.0,44.0,,5.0,1.0,2.0,0.0,0.0,604.0,182,604.0,0.0,0.0446467689433302,0
38,0,0,6.0,45.0,,5.0,1.0,2.0,0.0,0.0,204.0,37,204.0,0.0,0.0268736800351633,0
39,0,0,6.0,46.0,,5.0,1.0,2.0,0.0,0.0,186.0,56,186.0,0.0,0.044609840267612,0
40,0,0,6.0,47.0,,5.0,1.0,2.0,0.0,0.0,588.0,141,588.0,0.0,0.0355301770790328,0
41,0,0,6.0,48.0,,5.0,1.0,2.0,0.0,0.0,59.0,9,59.0,0.0,0.0226019590217864,0
42,0,0,6.0,49.0,,5.0,1.0,2.0,0.0,0.0,156.0,36,156.0,0.0,0.0341927072380872,0
43,0,0,6.0,50.0,,5.0,1.0,2.0,0.0,0.0,139.0,31,139.0,0.0,0.0330447506401658,0
44,0,0,6.0,51.0,,5.0,1.0,2.0,0.0,0.0,321.0,84,321.0,0.0,0.0387730387372702,0
45,0,0,6.0,52.0,,5.0,1.0,2.0,0.0,0.0,57.0,10,57.0,0.0,0.025994455795037,0
46,0,0,6.0,53.0,,5.0,1.0,2.0,0.0,0.0,73.0,27,73.0,0.0,0.0548020102309069,0
47,0,0,6.0,54.0,,5.0,1.0,2.0,0.0,0.0,1.0,2,1.0,0.0,0.2963367960634226,0
48,0,0,6.0,55.0,,5.0,1.0,2.0,0.0,0.0,84.0,33,84.0,0.0,0.058209013512458,0
49,0,0,6.0,56.0,,5.0,1.0,2.0,0.0,0.0,386.0,83,386.0,0.0,0.0318600441363524,0
50,0,0,6.0,57.0,,5.0,1.0,2.0,0.0,0.0,44.0,7,44.0,0.0,0.0235722451414086,0
51,0,0,6.0,58.0,,5.0,1.0,2.0,0.0,0.0,501.0,123,501.0,0.0,0.0363766725706596,0
52,0,0,6.0,59.0,,5.0,1.0,2.0,0.0,0.0,912.0,270,912.0,0.0,0.043865644154125,0
53,0,0,6.0,60.0,,5.0,1.0,2.0,0.0,0.0,81.0,11,81.0,0.0,0.0201216343006027,0
54,0,0,6.0,61.0,,5.0,1.0,2.0,0.0,0.0,53.0,23,53.0,0.0,0.0642994934854596,0
55,0,0,6.0,62.0,,5.0,1.0,2.0,0.0,0.0,217.0,45,217.0,0.0,0.030726165490447,0
56,0,0,6.0,63.0,,5.0,1.0,2.0,0.0,0.0,219.0,60,219.0,0.0,0.0405940816525236,0
57,0,0,6.0,64.0,,5.0,1.0,2.0,0.0,0.0,85.0,16,85.0,0.0,0.0278905219824397,0
58,0,0,6.0,65.0,,5.0,1.0,2.0,0.0,0.0,91.0,35,91.0,0.0,0.056987845396812,0
59,0,0,6.0,66.0,,5.0,1.0,2.0,0.0,0.0,157.0,36,157.0,0.0,0.0339749192938955,0
60,0,0,6.0,67.0,,5.0,1.0,2.0,0.0,0.0,560.0,174,560.0,0.0,0.0460380379598531,0
61,0,0,6.0,68.0,,5.0,1.0,2.0,0.0,0.0,328.0,79,328.0,0.0,0.0356869007454426,0
62,0,0,6.0,69.0,,5.0,1.0,2.0,0.0,0.0,53.0,20,53.0,0.0,0.0559126030308344,0
63,0,0,6.0,70.0,,5.0,1.0,2.0,0.0,0.0,165.0,47,165.0,0.0,0.0422055436817601,0
64,0,0,6.0,71.0,,5.0,1.0,2.0,0.0,0.0,110.0,33,110.0,0.0,0.0444505194095133,0
65,0,0,6.0,72.0,,5.0,1.0,2.0,0.0,0.0,161.0,38,161.0,0.0,0.0349714231379194,0
66,0,0,6.0,73.0,,5.0,1.0,2.0,0.0,0.0,66.0,3,66.0,0.0,0.0067349271832596,0
67,0,0,6.0,74.0,,5.0,1.0,2.0,0.0,0.0,631.0,151,631.0,0.0,0.0354570968348469,0
68,0,0,6.0,76.0,,5.0,1.0,2.0,0.0,0.0,172.0,40,172.0,0.0,0.0344577669841189,0
69,0,0,6.0,77.0,,5.0,1.0,2.0,0.0,0.0,440.0,98,440.0,0.0,0.033001143197972,0
70,0,0,6.0,79.0,,5.0,1.0,2.0,0.0,0.0,974.0,200,974.0,0.0,0.0304247223884417,0
71,0,0,6.0,80.0,,5.0,1.0,2.0,0.0,0.0,59.0,21,59.0,0.0,0.0527379043841684,0
72,0,0,6.0,81.0,,5.0,1.0,2.0,0.0,0.0,79.0,25,79.0,0.0,0.046888733554339,0
73,0,0,6.0,82.0,,5.0,1.0,2.0,0.0,0.0,235.0,120,235.0,0.0,0.0756604585693845,0
74,0,0,6.0,83.0,,5.0,1.0,2.0,0.0,0.0,57.0,13,57.0,0.0,0.0337927925335481,0
75,0,0,6.0,84.0,,5.0,1.0,2.0,0.0,0.0,97.0,33,97.0,0.0,0.050407805515943,0
76,0,0,6.0,85.0,,5.0,1.0,2.0,0.0,0.0,24.0,6,24.0,0.0,0.0370420995079278,0
77,0,0,6.0,86.0,,5.0,1.0,2.0,0.0,0.0,7.0,9,7.0,0.0,0.1905022260407716,0
78,0,0,6.0,87.0,,5.0,1.0,2.0,0.0,0.0,11.0,1,11.0,0.0,0.0134698543665192,0
79,0,0,6.0,89.0,,5.0,1.0,2.0,0.0,0.0,153.0,21,153.0,0.0,0.020336838945529,0
